**  Dictionary **

paper: Paper
session: unique session identifier

treatment: denotes the different treatments in the experiment
	Label of treatments are as follows
		BNL (baseline no lottery) -> Baseline
		BL (baseline lottery) -> Lottery
		C4530 and C6520 -> One Game (with corresponding a and b)
		5C4530 and 5C6520 -> Five Actions (with corresponding a and b)

period: period in session
fixed_id: subject identifier in session
partner_fixed_id: identifier in session of partner
a and b: payoff variables that change across games
game: # that denotes the 16 possible a and b combinations
action: = stag in all treatments but Five Actions where it goes from 1 to 5 (with 5 corresponding to stag)
o_action: action of partner in that period

*****


session,treatment,period,fixed_id,partner_fixed_id,a,b,game,action,o_action
103,BNL,13,16,4,25,30,3,1,1
103,BNL,13,16,4,85,20,14,0,0
103,BNL,13,16,4,45,30,7,1,0
103,BNL,13,16,4,25,10,1,1,1
103,BNL,13,16,4,45,40,8,1,1
103,BNL,13,17,3,85,20,14,1,0
103,BNL,13,17,3,25,10,1,1,0
103,BNL,13,17,3,25,20,2,1,0
103,BNL,13,17,3,85,40,16,1,0
103,BNL,13,17,3,45,30,7,1,0
103,BNL,13,17,3,85,30,15,0,0
103,BNL,13,17,3,25,40,4,1,1
103,BNL,13,17,3,65,10,9,1,0
103,BNL,13,17,3,65,40,12,1,0
103,BNL,13,17,3,45,20,6,1,0
103,BNL,13,17,3,25,30,3,1,1
103,BNL,13,17,3,65,30,11,1,0
103,BNL,13,17,3,85,10,13,1,0
103,BNL,13,17,3,45,40,8,1,1
103,BNL,13,17,3,45,10,5,1,0
103,BNL,13,17,3,65,20,10,1,0
103,BNL,13,18,12,25,30,3,1,1
103,BNL,13,18,12,25,10,1,1,1
103,BNL,13,18,12,85,20,14,0,0
103,BNL,13,18,12,45,40,8,1,1
103,BNL,13,18,12,65,10,9,0,0
103,BNL,13,18,12,65,30,11,1,0
103,BNL,13,18,12,65,20,10,0,0
103,BNL,13,18,12,65,40,12,1,1
103,BNL,13,18,12,85,10,13,0,0
103,BNL,13,18,12,25,40,4,1,1
103,BNL,13,18,12,85,30,15,0,0
103,BNL,13,18,12,45,20,6,1,0
103,BNL,13,18,12,45,30,7,1,0
103,BNL,13,18,12,45,10,5,1,0
103,BNL,13,18,12,25,20,2,1,1
103,BNL,13,18,12,85,40,16,0,0
103,BNL,13,19,13,85,10,13,0,0
103,BNL,13,19,13,25,10,1,1,1
103,BNL,13,19,13,25,30,3,1,1
103,BNL,13,19,13,65,30,11,1,0
103,BNL,13,19,13,85,20,14,0,0
103,BNL,13,19,13,45,20,6,1,1
103,BNL,13,19,13,25,20,2,1,1
103,BNL,13,19,13,65,20,10,0,0
103,BNL,13,19,13,45,10,5,1,0
103,BNL,13,19,13,85,30,15,1,0
103,BNL,13,19,13,85,40,16,1,0
103,BNL,13,19,13,45,40,8,1,1
103,BNL,13,19,13,65,10,9,0,0
103,BNL,13,19,13,45,30,7,1,1
103,BNL,13,19,13,65,40,12,1,0
103,BNL,13,19,13,25,40,4,1,1
103,BNL,13,20,8,65,30,11,1,0
103,BNL,13,20,8,85,40,16,1,0
103,BNL,13,20,8,65,10,9,1,0
103,BNL,13,20,8,45,10,5,1,0
103,BNL,13,20,8,85,20,14,0,0
103,BNL,13,20,8,65,40,12,1,0
103,BNL,13,20,8,45,30,7,1,0
103,BNL,13,20,8,25,40,4,1,1
103,BNL,13,20,8,45,40,8,1,1
103,BNL,13,20,8,65,20,10,1,0
103,BNL,13,20,8,25,10,1,1,1
103,BNL,13,20,8,25,20,2,1,1
103,BNL,13,20,8,25,30,3,1,1
103,BNL,13,20,8,85,10,13,0,0
103,BNL,13,20,8,85,30,15,1,0
103,BNL,13,20,8,45,20,6,1,0
103,BNL,13,21,11,25,40,4,1,1
103,BNL,13,21,11,65,10,9,0,0
103,BNL,13,21,11,25,20,2,1,1
103,BNL,13,21,11,65,40,12,1,1
103,BNL,13,21,11,45,30,7,1,0
103,BNL,13,21,11,85,10,13,0,0
103,BNL,13,21,11,45,10,5,1,0
103,BNL,13,21,11,25,30,3,1,1
103,BNL,13,21,11,25,10,1,1,0
103,BNL,13,21,11,85,20,14,0,0
103,BNL,13,21,11,45,40,8,1,1
103,BNL,13,21,11,45,20,6,1,0
103,BNL,13,21,11,85,30,15,1,0
103,BNL,13,21,11,85,40,16,1,1
103,BNL,13,21,11,65,20,10,0,0
103,BNL,13,21,11,65,30,11,1,0
103,BNL,13,22,7,85,30,15,1,0
103,BNL,13,22,7,45,40,8,1,1
103,BNL,13,22,7,65,10,9,1,0
103,BNL,13,22,7,25,30,3,1,1
103,BNL,13,22,7,25,40,4,1,1
103,BNL,13,22,7,45,20,6,1,0
103,BNL,13,22,7,45,10,5,1,0
103,BNL,13,22,7,65,40,12,1,1
103,BNL,13,22,7,25,10,1,1,0
103,BNL,13,22,7,65,20,10,1,0
103,BNL,13,22,7,25,20,2,1,1
103,BNL,13,22,7,85,10,13,1,0
103,BNL,13,22,7,45,30,7,1,1
103,BNL,13,22,7,85,20,14,1,0
103,BNL,13,22,7,65,30,11,1,0
103,BNL,13,22,7,85,40,16,1,0
103,BNL,14,1,16,65,10,9,0,0
103,BNL,14,1,16,45,30,7,1,1
103,BNL,14,1,16,45,10,5,0,0
103,BNL,14,1,16,45,20,6,0,0
103,BNL,14,1,16,25,20,2,1,1
103,BNL,14,1,16,65,30,11,1,1
103,BNL,14,1,16,25,10,1,1,1
103,BNL,14,1,16,25,40,4,1,1
103,BNL,14,1,16,85,30,15,0,0
103,BNL,14,1,16,85,40,16,0,1
103,BNL,14,1,16,65,20,10,0,0
103,BNL,14,1,16,85,20,14,0,0
103,BNL,14,1,16,25,30,3,1,1
103,BNL,14,1,16,85,10,13,0,0
103,BNL,14,1,16,45,40,8,1,1
103,BNL,14,1,16,65,40,12,0,1
103,BNL,14,2,17,25,20,2,1,0
103,BNL,14,2,17,65,40,12,1,0
103,BNL,14,2,17,65,30,11,0,0
103,BNL,14,2,17,25,40,4,1,1
103,BNL,14,2,17,45,40,8,1,0
103,BNL,14,2,17,65,10,9,0,0
103,BNL,14,2,17,85,20,14,0,0
103,BNL,14,2,17,25,10,1,1,0
103,BNL,14,2,17,45,10,5,0,0
103,BNL,14,2,17,45,20,6,0,0
103,BNL,14,2,17,85,10,13,0,0
103,BNL,14,2,17,65,20,10,0,0
103,BNL,14,2,17,25,30,3,1,1
103,BNL,14,2,17,85,30,15,0,0
103,BNL,14,2,17,45,30,7,1,0
103,BNL,14,2,17,85,40,16,0,0
103,BNL,14,3,14,65,20,10,0,0
103,BNL,14,3,14,25,10,1,1,1
103,BNL,14,3,14,85,40,16,0,0
103,BNL,14,3,14,85,10,13,0,0
103,BNL,14,3,14,65,40,12,0,1
103,BNL,14,3,14,25,30,3,1,1
103,BNL,14,3,14,25,20,2,1,1
103,BNL,14,3,14,45,10,5,1,0
103,BNL,14,3,14,45,20,6,1,0
103,BNL,14,3,14,65,10,9,0,0
103,BNL,14,3,14,85,30,15,0,0
103,BNL,14,3,14,45,40,8,1,1
103,BNL,14,3,14,85,20,14,0,0
103,BNL,14,3,14,25,40,4,1,1
103,BNL,14,3,14,65,30,11,0,0
103,BNL,14,3,14,45,30,7,1,0
103,BNL,14,4,15,85,20,14,0,0
103,BNL,14,4,15,25,30,3,1,1
103,BNL,14,4,15,45,30,7,0,1
103,BNL,14,4,15,45,10,5,0,1
103,BNL,14,4,15,25,20,2,1,1
103,BNL,14,4,15,25,10,1,1,1
103,BNL,14,4,15,85,10,13,0,0
103,BNL,14,4,15,45,40,8,1,1
103,BNL,14,4,15,85,30,15,0,1
103,BNL,14,4,15,65,40,12,0,1
103,BNL,14,4,15,65,10,9,0,1
103,BNL,14,4,15,25,40,4,1,1
103,BNL,14,4,15,65,20,10,0,1
103,BNL,14,4,15,45,20,6,0,1
103,BNL,14,4,15,85,40,16,0,1
103,BNL,14,4,15,65,30,11,0,1
103,BNL,14,5,18,45,10,5,0,0
103,BNL,14,5,18,25,20,2,1,1
103,BNL,14,5,18,65,10,9,0,0
103,BNL,14,5,18,25,10,1,1,1
103,BNL,14,5,18,65,40,12,0,1
103,BNL,14,5,18,45,30,7,1,1
103,BNL,14,5,18,45,20,6,0,0
103,BNL,14,5,18,85,30,15,0,0
103,BNL,14,5,18,85,20,14,0,0
103,BNL,14,5,18,25,30,3,1,1
103,BNL,14,5,18,85,10,13,0,0
103,BNL,14,5,18,65,30,11,0,1
103,BNL,14,5,18,25,40,4,1,1
103,BNL,14,5,18,45,40,8,1,1
103,BNL,14,5,18,85,40,16,0,0
103,BNL,14,5,18,65,20,10,0,0
103,BNL,14,6,19,45,30,7,1,1
103,BNL,14,6,19,45,10,5,1,0
103,BNL,14,6,19,25,10,1,1,1
103,BNL,14,6,19,25,30,3,1,1
103,BNL,14,6,19,85,40,16,0,1
103,BNL,14,6,19,85,10,13,0,0
103,BNL,14,6,19,45,20,6,1,1
103,BNL,14,6,19,45,40,8,1,1
103,BNL,14,6,19,85,30,15,0,0
103,BNL,14,6,19,65,10,9,0,0
103,BNL,14,6,19,65,20,10,0,0
103,BNL,14,6,19,65,30,11,0,0
103,BNL,14,6,19,25,40,4,1,1
103,BNL,14,6,19,85,20,14,0,0
103,BNL,14,6,19,65,40,12,0,1
103,BNL,14,6,19,25,20,2,1,1
103,BNL,14,7,9,25,20,2,1,1
103,BNL,14,7,9,45,30,7,1,1
103,BNL,14,7,9,85,10,13,0,0
103,BNL,14,7,9,25,10,1,0,0
103,BNL,14,7,9,25,30,3,1,1
103,BNL,14,7,9,65,30,11,0,0
103,BNL,14,7,9,85,20,14,0,0
103,BNL,14,7,9,65,10,9,0,0
103,BNL,14,7,9,45,10,5,0,0
103,BNL,14,7,9,85,30,15,0,0
103,BNL,14,7,9,65,40,12,0,1
103,BNL,14,7,9,45,20,6,0,0
103,BNL,14,7,9,85,40,16,0,0
103,BNL,14,7,9,45,40,8,1,1
103,BNL,14,7,9,25,40,4,1,1
103,BNL,14,7,9,65,20,10,0,0
103,BNL,14,8,10,25,40,4,1,1
103,BNL,14,8,10,25,10,1,1,1
103,BNL,14,8,10,25,30,3,1,1
103,BNL,14,8,10,65,40,12,0,1
103,BNL,14,8,10,45,40,8,1,1
103,BNL,14,8,10,65,20,10,0,0
103,BNL,14,8,10,65,10,9,0,0
103,BNL,14,8,10,85,40,16,0,0
103,BNL,14,8,10,45,30,7,0,1
103,BNL,14,8,10,65,30,11,0,0
103,BNL,14,8,10,25,20,2,1,1
103,BNL,14,8,10,85,20,14,0,0
103,BNL,14,8,10,85,10,13,0,0
103,BNL,14,8,10,85,30,15,0,0
103,BNL,14,8,10,45,20,6,0,0
103,BNL,14,8,10,45,10,5,0,0
103,BNL,14,9,7,25,20,2,1,1
103,BNL,14,9,7,45,10,5,0,0
103,BNL,14,9,7,25,40,4,1,1
103,BNL,14,9,7,65,20,10,0,0
103,BNL,14,9,7,65,30,11,0,0
103,BNL,14,9,7,85,20,14,0,0
103,BNL,14,9,7,45,20,6,0,0
103,BNL,14,9,7,85,40,16,0,0
103,BNL,14,9,7,25,30,3,1,1
103,BNL,14,9,7,65,40,12,1,0
103,BNL,14,9,7,25,10,1,0,0
103,BNL,14,9,7,45,30,7,1,1
103,BNL,14,9,7,85,10,13,0,0
103,BNL,14,9,7,45,40,8,1,1
103,BNL,14,9,7,85,30,15,0,0
103,BNL,14,9,7,65,10,9,0,0
103,BNL,14,10,8,85,30,15,0,0
103,BNL,14,10,8,65,20,10,0,0
103,BNL,14,10,8,25,40,4,1,1
103,BNL,14,10,8,45,10,5,0,0
103,BNL,14,10,8,25,30,3,1,1
103,BNL,14,10,8,65,10,9,0,0
103,BNL,14,10,8,65,40,12,1,0
103,BNL,14,10,8,85,40,16,0,0
103,BNL,14,10,8,85,20,14,0,0
103,BNL,14,10,8,45,20,6,0,0
103,BNL,14,10,8,85,10,13,0,0
103,BNL,14,10,8,65,30,11,0,0
103,BNL,14,10,8,45,40,8,1,1
103,BNL,14,10,8,45,30,7,1,0
103,BNL,14,10,8,25,20,2,1,1
103,BNL,14,10,8,25,10,1,1,1
103,BNL,14,11,22,65,40,12,1,1
103,BNL,14,11,22,45,20,6,0,1
103,BNL,14,11,22,25,10,1,1,1
103,BNL,14,11,22,85,20,14,0,1
103,BNL,14,11,22,85,10,13,0,1
103,BNL,14,11,22,45,40,8,1,1
103,BNL,14,11,22,85,30,15,0,1
103,BNL,14,11,22,65,10,9,0,1
103,BNL,14,11,22,65,30,11,0,1
103,BNL,14,11,22,85,40,16,1,1
103,BNL,14,11,22,45,10,5,0,1
103,BNL,14,11,22,25,20,2,1,1
103,BNL,14,11,22,25,40,4,1,1
103,BNL,14,11,22,25,30,3,1,1
103,BNL,14,11,22,45,30,7,1,1
103,BNL,14,11,22,65,20,10,0,1
103,BNL,14,12,20,25,40,4,1,1
103,BNL,14,12,20,65,10,9,0,1
103,BNL,14,12,20,25,20,2,1,1
103,BNL,14,12,20,25,30,3,1,1
103,BNL,14,12,20,25,10,1,1,1
103,BNL,14,12,20,85,40,16,0,1
103,BNL,14,12,20,65,30,11,0,1
103,BNL,14,12,20,45,20,6,0,1
103,BNL,14,12,20,65,40,12,1,1
103,BNL,14,12,20,45,10,5,0,1
103,BNL,14,12,20,85,10,13,0,1
103,BNL,14,12,20,85,20,14,0,1
103,BNL,14,12,20,65,20,10,0,1
103,BNL,14,12,20,45,40,8,1,1
103,BNL,14,12,20,45,30,7,1,1
103,BNL,14,12,20,85,30,15,0,1
103,BNL,14,13,21,85,10,13,0,0
103,BNL,14,13,21,65,10,9,0,0
103,BNL,14,13,21,65,30,11,0,0
103,BNL,14,13,21,25,30,3,1,1
103,BNL,14,13,21,45,30,7,1,1
103,BNL,14,13,21,85,40,16,0,0
103,BNL,14,13,21,85,30,15,0,0
103,BNL,14,13,21,25,10,1,1,1
103,BNL,14,13,21,85,20,14,0,0
103,BNL,14,13,21,25,20,2,1,1
103,BNL,14,13,21,45,10,5,1,1
103,BNL,14,13,21,45,40,8,1,1
103,BNL,14,13,21,65,20,10,0,0
103,BNL,14,13,21,25,40,4,1,1
103,BNL,14,13,21,65,40,12,0,1
103,BNL,14,13,21,45,20,6,1,1
103,BNL,14,14,3,45,10,5,0,1
103,BNL,14,14,3,65,10,9,0,0
103,BNL,14,14,3,65,40,12,1,0
103,BNL,14,14,3,25,30,3,1,1
103,BNL,14,14,3,85,10,13,0,0
103,BNL,14,14,3,65,20,10,0,0
103,BNL,14,14,3,85,20,14,0,0
103,BNL,14,14,3,45,20,6,0,1
103,BNL,14,14,3,25,40,4,1,1
103,BNL,14,14,3,85,40,16,0,0
103,BNL,14,14,3,65,30,11,0,0
103,BNL,14,14,3,45,40,8,1,1
103,BNL,14,14,3,45,30,7,0,1
103,BNL,14,14,3,85,30,15,0,0
103,BNL,14,14,3,25,10,1,1,1
103,BNL,14,14,3,25,20,2,1,1
103,BNL,14,15,4,85,10,13,0,0
103,BNL,14,15,4,45,40,8,1,1
103,BNL,14,15,4,25,40,4,1,1
103,BNL,14,15,4,65,10,9,1,0
103,BNL,14,15,4,45,30,7,1,0
103,BNL,14,15,4,85,40,16,1,0
103,BNL,14,15,4,25,30,3,1,1
103,BNL,14,15,4,65,20,10,1,0
103,BNL,14,15,4,45,20,6,1,0
103,BNL,14,15,4,45,10,5,1,0
103,BNL,14,15,4,65,30,11,1,0
103,BNL,14,15,4,85,30,15,1,0
103,BNL,14,15,4,25,20,2,1,1
103,BNL,14,15,4,85,20,14,0,0
103,BNL,14,15,4,25,10,1,1,1
103,BNL,14,15,4,65,40,12,1,0
103,BNL,14,16,1,85,10,13,0,0
103,BNL,14,16,1,25,40,4,1,1
103,BNL,14,16,1,65,10,9,0,0
103,BNL,14,16,1,25,30,3,1,1
103,BNL,14,16,1,45,40,8,1,1
103,BNL,14,16,1,85,20,14,0,0
103,BNL,14,16,1,25,10,1,1,1
103,BNL,14,16,1,45,10,5,0,0
103,BNL,14,16,1,85,40,16,1,0
103,BNL,14,16,1,65,40,12,1,0
103,BNL,14,16,1,25,20,2,1,1
103,BNL,14,16,1,45,30,7,1,1
103,BNL,14,16,1,85,30,15,0,0
103,BNL,14,16,1,45,20,6,0,0
103,BNL,14,16,1,65,30,11,1,1
103,BNL,14,16,1,65,20,10,0,0
103,BNL,14,17,2,45,20,6,0,0
103,BNL,14,17,2,65,20,10,0,0
103,BNL,14,17,2,85,10,13,0,0
103,BNL,14,17,2,25,20,2,0,1
103,BNL,14,17,2,85,40,16,0,0
103,BNL,14,17,2,45,30,7,0,1
103,BNL,14,17,2,25,10,1,0,1
103,BNL,14,17,2,45,10,5,0,0
103,BNL,14,17,2,25,30,3,1,1
103,BNL,14,17,2,85,20,14,0,0
103,BNL,14,17,2,25,40,4,1,1
103,BNL,14,17,2,45,40,8,0,1
103,BNL,14,17,2,85,30,15,0,0
103,BNL,14,17,2,65,40,12,0,1
103,BNL,14,17,2,65,10,9,0,0
103,BNL,14,17,2,65,30,11,0,0
103,BNL,14,18,5,25,20,2,1,1
103,BNL,14,18,5,25,40,4,1,1
103,BNL,14,18,5,45,40,8,1,1
103,BNL,14,18,5,85,10,13,0,0
103,BNL,14,18,5,45,30,7,1,1
103,BNL,14,18,5,25,10,1,1,1
103,BNL,14,18,5,85,40,16,0,0
103,BNL,14,18,5,85,30,15,0,0
103,BNL,14,18,5,65,40,12,1,0
103,BNL,14,18,5,45,20,6,0,0
103,BNL,14,18,5,45,10,5,0,0
103,BNL,14,18,5,65,30,11,1,0
103,BNL,14,18,5,25,30,3,1,1
103,BNL,14,18,5,65,10,9,0,0
103,BNL,14,18,5,65,20,10,0,0
103,BNL,14,18,5,85,20,14,0,0
103,BNL,14,19,6,65,20,10,0,0
103,BNL,14,19,6,45,10,5,0,1
103,BNL,14,19,6,25,20,2,1,1
103,BNL,14,19,6,25,40,4,1,1
103,BNL,14,19,6,45,20,6,1,1
103,BNL,14,19,6,25,30,3,1,1
103,BNL,14,19,6,65,40,12,1,0
103,BNL,14,19,6,85,40,16,1,0
103,BNL,14,19,6,65,30,11,0,0
103,BNL,14,19,6,85,10,13,0,0
103,BNL,14,19,6,25,10,1,1,1
103,BNL,14,19,6,45,30,7,1,1
103,BNL,14,19,6,85,30,15,0,0
103,BNL,14,19,6,45,40,8,1,1
103,BNL,14,19,6,85,20,14,0,0
103,BNL,14,19,6,65,10,9,0,0
103,BNL,14,20,12,85,30,15,1,0
103,BNL,14,20,12,25,40,4,1,1
103,BNL,14,20,12,45,20,6,1,0
103,BNL,14,20,12,45,30,7,1,1
103,BNL,14,20,12,65,40,12,1,1
103,BNL,14,20,12,65,20,10,1,0
103,BNL,14,20,12,65,10,9,1,0
103,BNL,14,20,12,45,10,5,1,0
103,BNL,14,20,12,25,20,2,1,1
103,BNL,14,20,12,25,30,3,1,1
103,BNL,14,20,12,85,10,13,1,0
103,BNL,14,20,12,65,30,11,1,0
103,BNL,14,20,12,85,20,14,1,0
103,BNL,14,20,12,25,10,1,1,1
103,BNL,14,20,12,45,40,8,1,1
103,BNL,14,20,12,85,40,16,1,0
103,BNL,14,21,13,85,30,15,0,0
103,BNL,14,21,13,85,40,16,0,0
103,BNL,14,21,13,45,30,7,1,1
103,BNL,14,21,13,85,20,14,0,0
103,BNL,14,21,13,65,10,9,0,0
103,BNL,14,21,13,25,20,2,1,1
103,BNL,14,21,13,25,40,4,1,1
103,BNL,14,21,13,45,10,5,1,1
103,BNL,14,21,13,45,40,8,1,1
103,BNL,14,21,13,65,20,10,0,0
103,BNL,14,21,13,25,30,3,1,1
103,BNL,14,21,13,45,20,6,1,1
103,BNL,14,21,13,85,10,13,0,0
103,BNL,14,21,13,25,10,1,1,1
103,BNL,14,21,13,65,40,12,1,0
103,BNL,14,21,13,65,30,11,0,0
103,BNL,14,22,11,25,40,4,1,1
103,BNL,14,22,11,85,30,15,1,0
103,BNL,14,22,11,25,20,2,1,1
103,BNL,14,22,11,65,20,10,1,0
103,BNL,14,22,11,45,20,6,1,0
103,BNL,14,22,11,25,10,1,1,1
103,BNL,14,22,11,45,30,7,1,1
103,BNL,14,22,11,85,20,14,1,0
103,BNL,14,22,11,65,40,12,1,1
103,BNL,14,22,11,85,40,16,1,1
103,BNL,14,22,11,65,10,9,1,0
103,BNL,14,22,11,25,30,3,1,1
103,BNL,14,22,11,65,30,11,1,0
103,BNL,14,22,11,85,10,13,1,0
103,BNL,14,22,11,45,10,5,1,0
103,BNL,14,22,11,45,40,8,1,1
103,BNL,15,1,17,65,20,10,0,0
103,BNL,15,1,17,85,30,15,0,0
103,BNL,15,1,17,25,20,2,1,0
103,BNL,15,1,17,25,10,1,1,0
103,BNL,15,1,17,25,30,3,1,0
103,BNL,15,1,17,25,40,4,1,0
103,BNL,15,1,17,85,10,13,0,0
103,BNL,15,1,17,85,20,14,0,0
103,BNL,15,1,17,65,40,12,0,0
103,BNL,15,1,17,45,10,5,0,0
103,BNL,15,1,17,45,30,7,1,1
103,BNL,15,1,17,85,40,16,0,0
103,BNL,15,1,17,45,40,8,1,0
103,BNL,15,1,17,65,30,11,0,0
103,BNL,15,1,17,45,20,6,0,0
103,BNL,15,1,17,65,10,9,0,0
103,BNL,15,2,16,25,20,2,1,1
103,BNL,15,2,16,45,40,8,1,1
103,BNL,15,2,16,85,30,15,0,0
103,BNL,15,2,16,65,20,10,0,0
103,BNL,15,2,16,85,20,14,0,0
103,BNL,15,2,16,45,20,6,0,0
103,BNL,15,2,16,65,10,9,0,0
103,BNL,15,2,16,85,10,13,0,0
103,BNL,15,2,16,45,30,7,0,1
103,BNL,15,2,16,25,30,3,1,1
103,BNL,15,2,16,25,40,4,1,1
103,BNL,15,2,16,65,30,11,0,1
103,BNL,15,2,16,25,10,1,1,1
103,BNL,15,2,16,85,40,16,0,0
103,BNL,15,2,16,65,40,12,1,1
103,BNL,15,2,16,45,10,5,0,0
103,BNL,15,3,15,25,20,2,1,1
103,BNL,15,3,15,25,10,1,0,1
103,BNL,15,3,15,85,20,14,0,0
103,BNL,15,3,15,85,30,15,0,1
103,BNL,15,3,15,65,30,11,0,1
103,BNL,15,3,15,65,10,9,0,1
103,BNL,15,3,15,85,40,16,0,1
103,BNL,15,3,15,65,40,12,0,1
103,BNL,15,3,15,45,40,8,1,1
103,BNL,15,3,15,45,30,7,1,1
103,BNL,15,3,15,25,40,4,1,1
103,BNL,15,3,15,45,20,6,0,1
103,BNL,15,3,15,85,10,13,0,0
103,BNL,15,3,15,65,20,10,0,1
103,BNL,15,3,15,25,30,3,1,1
103,BNL,15,3,15,45,10,5,0,1
103,BNL,15,4,14,45,20,6,0,0
103,BNL,15,4,14,25,40,4,1,1
103,BNL,15,4,14,85,10,13,0,0
103,BNL,15,4,14,65,10,9,0,0
103,BNL,15,4,14,65,30,11,0,0
103,BNL,15,4,14,25,20,2,1,1
103,BNL,15,4,14,25,30,3,1,1
103,BNL,15,4,14,45,10,5,0,0
103,BNL,15,4,14,65,20,10,0,0
103,BNL,15,4,14,45,40,8,1,1
103,BNL,15,4,14,85,20,14,0,0
103,BNL,15,4,14,65,40,12,0,1
103,BNL,15,4,14,85,30,15,0,0
103,BNL,15,4,14,85,40,16,0,0
103,BNL,15,4,14,45,30,7,0,1
103,BNL,15,4,14,25,10,1,1,1
103,BNL,15,5,19,65,20,10,0,0
103,BNL,15,5,19,85,20,14,0,0
103,BNL,15,5,19,25,20,2,1,1
103,BNL,15,5,19,65,30,11,0,0
103,BNL,15,5,19,25,40,4,1,1
103,BNL,15,5,19,85,30,15,0,0
103,BNL,15,5,19,85,10,13,0,0
103,BNL,15,5,19,85,40,16,0,1
103,BNL,15,5,19,45,30,7,1,1
103,BNL,15,5,19,65,40,12,1,1
103,BNL,15,5,19,45,20,6,0,1
103,BNL,15,5,19,25,30,3,1,1
103,BNL,15,5,19,25,10,1,1,1
103,BNL,15,5,19,65,10,9,0,0
103,BNL,15,5,19,45,40,8,1,1
103,BNL,15,5,19,45,10,5,0,1
103,BNL,15,6,21,45,30,7,1,1
103,BNL,15,6,21,85,20,14,0,0
103,BNL,15,6,21,85,10,13,0,0
103,BNL,15,6,21,25,20,2,1,1
103,BNL,15,6,21,85,30,15,0,0
103,BNL,15,6,21,25,30,3,1,1
103,BNL,15,6,21,45,40,8,1,1
103,BNL,15,6,21,65,30,11,0,0
103,BNL,15,6,21,65,10,9,0,0
103,BNL,15,6,21,25,10,1,0,1
103,BNL,15,6,21,45,20,6,1,1
103,BNL,15,6,21,25,40,4,1,1
103,BNL,15,6,21,65,20,10,0,0
103,BNL,15,6,21,45,10,5,1,1
103,BNL,15,6,21,85,40,16,0,0
103,BNL,15,6,21,65,40,12,0,1
103,BNL,15,7,10,85,20,14,0,0
103,BNL,15,7,10,65,10,9,0,0
103,BNL,15,7,10,45,20,6,0,0
103,BNL,15,7,10,65,30,11,0,0
103,BNL,15,7,10,25,30,3,1,1
103,BNL,15,7,10,65,20,10,0,0
103,BNL,15,7,10,45,40,8,1,1
103,BNL,15,7,10,85,30,15,0,0
103,BNL,15,7,10,85,10,13,0,0
103,BNL,15,7,10,45,10,5,0,0
103,BNL,15,7,10,25,40,4,1,1
103,BNL,15,7,10,65,40,12,0,1
103,BNL,15,7,10,45,30,7,1,1
103,BNL,15,7,10,25,10,1,0,1
103,BNL,15,7,10,25,20,2,1,1
103,BNL,15,7,10,85,40,16,0,0
103,BNL,15,8,9,65,40,12,0,1
103,BNL,15,8,9,25,40,4,1,1
103,BNL,15,8,9,65,20,10,0,0
103,BNL,15,8,9,65,10,9,0,0
103,BNL,15,8,9,45,20,6,0,0
103,BNL,15,8,9,45,30,7,0,1
103,BNL,15,8,9,85,20,14,0,0
103,BNL,15,8,9,85,30,15,0,0
103,BNL,15,8,9,25,20,2,1,1
103,BNL,15,8,9,85,10,13,0,0
103,BNL,15,8,9,25,30,3,1,1
103,BNL,15,8,9,25,10,1,1,0
103,BNL,15,8,9,45,10,5,0,0
103,BNL,15,8,9,85,40,16,0,0
103,BNL,15,8,9,45,40,8,1,1
103,BNL,15,8,9,65,30,11,0,0
103,BNL,15,9,8,65,40,12,1,0
103,BNL,15,9,8,25,10,1,0,1
103,BNL,15,9,8,85,30,15,0,0
103,BNL,15,9,8,85,40,16,0,0
103,BNL,15,9,8,45,20,6,0,0
103,BNL,15,9,8,65,30,11,0,0
103,BNL,15,9,8,65,20,10,0,0
103,BNL,15,9,8,45,30,7,1,0
103,BNL,15,9,8,85,20,14,0,0
103,BNL,15,9,8,45,10,5,0,0
103,BNL,15,9,8,65,10,9,0,0
103,BNL,15,9,8,85,10,13,0,0
103,BNL,15,9,8,25,20,2,1,1
103,BNL,15,9,8,25,40,4,1,1
103,BNL,15,9,8,25,30,3,1,1
103,BNL,15,9,8,45,40,8,1,1
103,BNL,15,10,7,65,30,11,0,0
103,BNL,15,10,7,45,10,5,0,0
103,BNL,15,10,7,85,30,15,0,0
103,BNL,15,10,7,25,20,2,1,1
103,BNL,15,10,7,65,10,9,0,0
103,BNL,15,10,7,25,40,4,1,1
103,BNL,15,10,7,45,30,7,1,1
103,BNL,15,10,7,85,20,14,0,0
103,BNL,15,10,7,65,20,10,0,0
103,BNL,15,10,7,85,40,16,0,0
103,BNL,15,10,7,45,40,8,1,1
103,BNL,15,10,7,25,30,3,1,1
103,BNL,15,10,7,85,10,13,0,0
103,BNL,15,10,7,25,10,1,1,0
103,BNL,15,10,7,65,40,12,1,0
103,BNL,15,10,7,45,20,6,0,0
103,BNL,15,11,18,25,20,2,1,1
103,BNL,15,11,18,65,40,12,1,1
103,BNL,15,11,18,25,40,4,1,1
103,BNL,15,11,18,85,30,15,1,0
103,BNL,15,11,18,45,10,5,0,0
103,BNL,15,11,18,45,30,7,1,1
103,BNL,15,11,18,85,10,13,0,0
103,BNL,15,11,18,45,20,6,1,0
103,BNL,15,11,18,45,40,8,1,1
