* Dictionary *
session: Unique session identifier, From 1 to 3.
round: Number of round. 18 Rounds per session.
stage: Number of stage within round. An additional stage is required if the group did not reach an agreement in the previous stage.
group: Group each subject belongs to.
id: Unique subject identifier (identifies subject across sessions) >= 1
delta: discount value. Could be 0, 0.2, 0.4, 0.6, 0.8 or 1. For one of the 3 blocks of 6 rounds in the experiment the values of delta are randomly chosen.
budget: Total budget to be allocated.
budget_next: budget to be allocated next stage if proposal fails
subject: number of the subject within a group: from 1 to 3.
b1 b2 b3: proposals as submitted by subjets. b1 is the amount allocated to subject with subject number 1 and so on.
sb1, sb2, sb3: share proposed, = bX/money available, [0,1].
computer: whether the proposer will be replaced by a computer (takes value 1) or not (takes value 0)
choice: if the computer makes a proposal choice codifies the type of proposal to be made.
   1: Egalitarian,
   2: Baron and Ferejohn SPE,
   3: Quasi BF. Proposer gets something between BF and egalitarian. Another member gets the difference,
   4: Non Minimum Winning coalition Proposer gets something between BF and half of the budget.
      Another two member split the difference equally,
   5: totally random
proposer: 1 if subject is the proposer, 0 otherwise.
p1 p2 p3: proposal submitted for voting. p1 is the amount allocated to subject with subject number 1 and so on.
sp1, sp2, sp3: share voted on, pX/money available, [0,1].
belief: answer to how likely do you think it is that the proposal comes from a computer? (-1 if Round is 6 or less, between 0 and 100 for Rounds 7 onwards) (Only for Stage 1, Stage 2 onwards equals -1)
vote: 1 if subject voted in favor, 0 if voted against
pass: 1 if proposal received a simple majority of votes
profit: profit made by the subject in the stage.
s_floor: share the subject is offered in the proposal on the floor, [0,1]
prop_s_floor: share to the proposer in the proposal on the floor, [0,1]
prop_s: share a subject offered for himself, [0,1]
high_s: highest offered share excluding the proposer, [0,1]
low_s: lowest offered share excluding the proposer, [0,1]
high_s_floor: highest offered share on the floor excluding the proposer, [0,1]
low_s_floor: lowest offered share on the floor excluding the proposer, [0,1]
mwc: = 1 if subject offered a MWC, 0 o/w.
mwc_floor: = 1 if proposal on the floor is a MWC, 0 o/w.
rmwc: = 1 if subject offered a Relaxed MWC, excluded member gets 10% of budget or less
rmwc_floor: = 1 if proposal on the floor is a Relaxed MWC, excluded member gets 10% of budget or less
equal = 1 if budget divided equally among members
**************

session,round,stage,group,id,subject,delta,budget,budget_next,b1,b2,b3,sb1,sb2,sb3,computer,choice,proposer,p1,p2,p3,sp1,sp2,sp3,belief,vote,pass,profit,s_floor,prop_s_floor,prop_s,high_s,low_s,mwc,mwc_floor,rmwc,rmwc_floor,high_s_floor,low_s_floor,equal
101215_1457,1,1,6,15,2,.2,30,6,10,10,10,.33333334,.33333334,.33333334,1,3,0,16.5,13.5,0,.55000001,.44999999,0,-1,1,1,13.5,.44999999,.55000001,.33333334,.33333334,.33333334,0,1,0,1,.44999999,0,1
101215_1457,1,1,6,2,3,.2,30,6,15,0,15,.5,0,.5,1,3,0,16.5,13.5,0,.55000001,.44999999,0,-1,0,1,0,0,.55000001,.5,.5,0,1,1,1,1,.44999999,0,0
101215_1457,1,2,3,5,1,.2,6,1.2,3,3,0,.5,.5,0,0,3,0,3,3,0,.5,.5,0,-1,1,1,3,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,1,2,3,17,2,.2,6,1.2,3,3,0,.5,.5,0,0,3,1,3,3,0,.5,.5,0,-1,1,1,3,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,1,2,3,1,3,.2,6,1.2,3,0,3,.5,0,.5,0,3,0,3,3,0,.5,.5,0,-1,0,1,0,0,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,1,2,5,8,1,.2,6,1.2,2,2,2,.33333334,.33333334,.33333334,0,2,0,0,6,0,0,1,0,-1,0,0,0,0,1,.33333334,.33333334,.33333334,0,1,0,1,0,0,1
101215_1457,1,2,5,14,2,.2,6,1.2,0,6,0,0,1,0,0,2,1,0,6,0,0,1,0,-1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0
101215_1457,1,2,5,7,3,.2,6,1.2,2,2,2,.33333334,.33333334,.33333334,0,2,0,0,6,0,0,1,0,-1,0,0,0,0,1,.33333334,.33333334,.33333334,0,1,0,1,0,0,1
101215_1457,1,3,5,8,1,.2,1.2,.2,.60000002,.60000002,0,.5,.5,0,0,2,0,0,1.2,0,0,1,0,-1,0,0,0,0,1,.5,.5,0,1,1,1,1,0,0,0
101215_1457,1,3,5,14,2,.2,1.2,.2,0,1.2,0,0,1,0,0,2,1,0,1.2,0,0,1,0,-1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0
101215_1457,1,3,5,7,3,.2,1.2,.2,.40000001,.40000001,.40000001,.33333331,.33333331,.33333331,0,2,0,0,1.2,0,0,1,0,-1,0,0,0,0,1,.33333331,.33333331,.33333331,0,1,0,1,0,0,1
101215_1457,2,1,1,15,1,0,30,0,10,10,10,.33333334,.33333334,.33333334,0,4,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
