/*****************************************************
*Dictionary*

round           repetition number. 10 rounds per session repeating the game
period          2 periods per game. 
group           group to which the subject belongs
subject         number, constant for a subject in the same session
subjectid       identity of the subject in the group: 1, 2 or 3
stage           proposal stage. if it passes first time only one stage is needed, potentially very large
x0              size of project at the beginning of a period
b1              provisional proposal to member with id1 
b2              idem id2
b3              idem id3
x               provisional allocation to investment
p1              selected proposal, allocation to member with id1
p2              idem id2
p3              idem id3
xp              selected allocation to investment
proposerid      id of the proposer
proposer        whether subject is the proposer
vote1           how the subject with id 1 voted: 1, voted in favor, 0 against
vote2           idem id2
vote3           idem id3
treatment       3: dynamic bargaining 80, 2: dynamic bargaining 20, 1: static bargaining
session         consecutive numbering for sessions
id              consecutive numbering for subjects
location        UCLA or NYU
my_priv         private allocation
prop_priv_floor proposer private allocation in the floor
high_priv       highest private allocation in provisional proposal
low_priv        lowest private allocation in provisional proposal
mwc             minimum winning coalition=1.
a10_mwc         aX_ stands for Almost with X units of slack on the lowest share
a20_mwc         idem X=20
a30_mwc         idem X=30

*****************************************************************************************************/
treatment	session	round	group	period	stage	id	subject	inv0	b1	b2	b3	inv	proposer	p1	p2	p3	subjectid	invp	proposerid	vote1	vote2	vote3	location	my_priv	prop_priv_floor	high_priv	low_priv	mwc	a10_mwc	a20_mwc	a30_mwc
"SB"	"UCLA SB S1"	1	3	2	1	86	6	0	50	50	50	50	1	50	50	50	3	50	3	0	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	1	3	2	1	151	11	0	39	40	40	81	0	50	50	50	2	50	3	0	1	1	"UCLA"	40	50	40	39	0	0	0	0
"SB"	"UCLA SB S1"	1	4	1	1	8	0	0	80	10	80	30	1	80	10	80	3	30	3	1	0	1	"UCLA"	80	80	80	10	0	1	1	1
"SB"	"UCLA SB S1"	1	4	1	1	21	1	0	48	48	48	56	0	80	10	80	2	30	3	1	0	1	"UCLA"	48	80	48	48	0	0	0	0
"SB"	"UCLA SB S1"	1	4	1	1	138	10	0	150	20	30	0	0	80	10	80	1	30	3	1	0	1	"UCLA"	150	80	30	20	0	0	1	0
"SB"	"UCLA SB S1"	1	4	2	1	8	0	0	0	85	85	30	1	0	85	85	3	30	3	1	1	1	"UCLA"	85	85	85	0	1	1	1	1
"SB"	"UCLA SB S1"	1	4	2	1	21	1	0	10	90	90	10	0	0	85	85	2	30	3	1	1	1	"UCLA"	90	85	90	10	0	1	1	1
"SB"	"UCLA SB S1"	1	4	2	1	138	10	0	120	20	60	0	0	0	85	85	1	30	3	1	1	1	"UCLA"	120	85	60	20	0	0	1	1
"SB"	"UCLA SB S1"	2	0	1	1	47	3	0	0	50	50	100	0	30	40	50	2	80	3	1	0	1	"UCLA"	50	50	50	0	1	1	1	1
"SB"	"UCLA SB S1"	2	0	1	1	60	4	0	30	40	50	80	1	30	40	50	3	80	3	1	0	1	"UCLA"	50	50	40	30	0	0	0	1
